FUENTES
ID FUENTES	URL FUENTES
(1)	https://biblio.flacsoandes.edu.ec/libros/digital/53323.pdf
(2)	https://estudioseconomicos.bce.fin.ec/index.php/RevistaCE/article/view/84/186
(3)	https://www.tdx.cat/bitstream/handle/10803/401183/cpnn1de1.pdf?sequence=1&isAllowed=y
(4)	https://www.dspace.espol.edu.ec/bitstream/123456789/2107/1/4204.pdf
(5)	http://moxlad.cienciassociales.edu.uy/download?series_ids=22_184,23_190,19_127,19_96,19_147&countries_ids=30&from=1870&to=2010&language=es

ORIGEN DE LOS VALORES
VALORES	ORIGEN	Pag
(1) INDICE DE PRECIO	Anexo 2 lNOICE DE PREClOS: 1921 - 1943 (a)	154
(1) TIPO DE CAMBIO	Cuadro 2 TIPO DE CAMBlO E INDICE DE PRECIOS: 1914 - 1926 (Sucres por Dolar) 	28
(2) INDICE DE PRECIO	Anexo 7: Circulación de billetes y precios	
(2) TIPO DE CAMBIO	Anexo 6: Evolución del tipo de cambio promedio anual	
(3) INDICE DE PRECIO 1	"Tabla III.17. Índice de precios y tasa de inflación, Ecuador y América Latina; Tabla IV.9. Índice de precios y tasa de inflación, Ecuador y América Latina, 1932-1938 "	124;164
(3) INDICE DE PRECIO 2	"Tabla VI.13. Precios internos e inflación, 1927-1937"	246
(4) INDICE DE PRECIO 1	Tabla I. Ecuador: Inflación estimada desde 1910 – 1923	3
(4) INDICE DE PRECIO 2	Tabla II. Indice de precios internos (1937-1950) 	4
(5) INDICE DE PRECIO	IPC (1970=100)
(5) TIPO DE CAMBIO 1	Tipo de cambio nominal (UML de 1970/US$)	
(5) TIPO DE CAMBIO 2	Tipo de cambio nominal (UML vigente/US$)	

TABLA CON LOS VALORES
FECHA	VALOR	UNIDAD	CAT
1921-12-31	100	INDICE	(1) INDICE DE PRECIO
1922-12-31	113.01	INDICE	(1) INDICE DE PRECIO
1923-12-31	123.07	INDICE	(1) INDICE DE PRECIO
1924-12-31	139.07	INDICE	(1) INDICE DE PRECIO
1925-12-31	145.04	INDICE	(1) INDICE DE PRECIO
1926-12-31	182.03	INDICE	(1) INDICE DE PRECIO
1927-12-31	169.07	INDICE	(1) INDICE DE PRECIO
1928-12-31	138.09	INDICE	(1) INDICE DE PRECIO
1929-12-31	144.03	INDICE	(1) INDICE DE PRECIO
1930-12-31	143.03	INDICE	(1) INDICE DE PRECIO
1931-12-31	106.04	INDICE	(1) INDICE DE PRECIO
1932-12-31	100.09	INDICE	(1) INDICE DE PRECIO
1934-12-31	185.06	INDICE	(1) INDICE DE PRECIO
1935-12-31	180.05	INDICE	(1) INDICE DE PRECIO
1936-12-31	220.03	INDICE	(1) INDICE DE PRECIO
1937-12-31	264.01	INDICE	(1) INDICE DE PRECIO
1938-12-31	255.07	INDICE	(1) INDICE DE PRECIO
1939-12-31	256.09	INDICE	(1) INDICE DE PRECIO
1940-12-31	262.04	INDICE	(1) INDICE DE PRECIO
1941-12-31	284.08	INDICE	(1) INDICE DE PRECIO
1942-12-31	370.08	INDICE	(1) INDICE DE PRECIO
1943-12-31	427.06	INDICE	(1) INDICE DE PRECIO
1914-01-31	2.08	SUCRE	(1) TIPO DE CAMBIO
1914-09-30	2.15	SUCRE	(1) TIPO DE CAMBIO
1915-01-31	2.08	SUCRE	(1) TIPO DE CAMBIO
1915-02-28	2.03	SUCRE	(1) TIPO DE CAMBIO
1915-03-31	2	SUCRE	(1) TIPO DE CAMBIO
1915-04-30	1.97	SUCRE	(1) TIPO DE CAMBIO
1915-05-31	2	SUCRE	(1) TIPO DE CAMBIO
1915-06-30	2.13	SUCRE	(1) TIPO DE CAMBIO
1915-07-31	2.18	SUCRE	(1) TIPO DE CAMBIO
1915-08-31	2.24	SUCRE	(1) TIPO DE CAMBIO
1915-09-30	2.26	SUCRE	(1) TIPO DE CAMBIO
1915-11-30	2.36	SUCRE	(1) TIPO DE CAMBIO
1916-01-31	2.35	SUCRE	(1) TIPO DE CAMBIO
1916-05-31	2.2	SUCRE	(1) TIPO DE CAMBIO
1916-06-30	2.16	SUCRE	(1) TIPO DE CAMBIO
1916-07-31	2.12	SUCRE	(1) TIPO DE CAMBIO
1916-08-31	2.13	SUCRE	(1) TIPO DE CAMBIO
1916-09-30	2.14	SUCRE	(1) TIPO DE CAMBIO
1916-10-31	2.15	SUCRE	(1) TIPO DE CAMBIO
1916-11-30	2.3	SUCRE	(1) TIPO DE CAMBIO
1916-12-31	2.5	SUCRE	(1) TIPO DE CAMBIO
1917-12-31	2.45	SUCRE	(1) TIPO DE CAMBIO
1918-01-31	2.43	SUCRE	(1) TIPO DE CAMBIO
1918-08-31	2.7	SUCRE	(1) TIPO DE CAMBIO
1918-09-30	3.2	SUCRE	(1) TIPO DE CAMBIO
1918-10-31	2.9	SUCRE	(1) TIPO DE CAMBIO
1918-11-30	2.7	SUCRE	(1) TIPO DE CAMBIO
1918-12-31	2.43	SUCRE	(1) TIPO DE CAMBIO
1919-01-31	2.26	SUCRE	(1) TIPO DE CAMBIO
1919-02-28	2.11	SUCRE	(1) TIPO DE CAMBIO
1919-03-31	2.15	SUCRE	(1) TIPO DE CAMBIO
1919-05-31	2.12	SUCRE	(1) TIPO DE CAMBIO
1919-06-30	2.15	SUCRE	(1) TIPO DE CAMBIO
1920-01-31	2.11	SUCRE	(1) TIPO DE CAMBIO
1920-06-30	2.2	SUCRE	(1) TIPO DE CAMBIO
1920-09-30	2.4	SUCRE	(1) TIPO DE CAMBIO
1920-10-31	2.6	SUCRE	(1) TIPO DE CAMBIO
1921-01-31	2.65	SUCRE	(1) TIPO DE CAMBIO
1921-02-28	2.85	SUCRE	(1) TIPO DE CAMBIO
1921-03-31	3.39	SUCRE	(1) TIPO DE CAMBIO
1921-04-30	2.8	SUCRE	(1) TIPO DE CAMBIO
1921-05-31	3.95	SUCRE	(1) TIPO DE CAMBIO
1921-06-30	3.8	SUCRE	(1) TIPO DE CAMBIO
1921-07-31	2.67	SUCRE	(1) TIPO DE CAMBIO
1921-08-31	3.59	SUCRE	(1) TIPO DE CAMBIO
1921-09-30	3.57	SUCRE	(1) TIPO DE CAMBIO
1921-11-30	3.66	SUCRE	(1) TIPO DE CAMBIO
1921-12-31	3.89	SUCRE	(1) TIPO DE CAMBIO
1922-01-31	4.15	SUCRE	(1) TIPO DE CAMBIO
1922-02-28	3.8	SUCRE	(1) TIPO DE CAMBIO
1922-03-31	3.65	SUCRE	(1) TIPO DE CAMBIO
1922-04-30	4	SUCRE	(1) TIPO DE CAMBIO
1922-05-31	3.65	SUCRE	(1) TIPO DE CAMBIO
1922-06-30	4.1	SUCRE	(1) TIPO DE CAMBIO
1922-07-31	4.5	SUCRE	(1) TIPO DE CAMBIO
1922-09-30	4.7	SUCRE	(1) TIPO DE CAMBIO
1922-10-31	4.6	SUCRE	(1) TIPO DE CAMBIO
1922-11-30	4.85	SUCRE	(1) TIPO DE CAMBIO
1922-12-31	4	SUCRE	(1) TIPO DE CAMBIO
1923-02-28	3.59	SUCRE	(1) TIPO DE CAMBIO
1923-03-31	3.4	SUCRE	(1) TIPO DE CAMBIO
1923-04-30	3.8	SUCRE	(1) TIPO DE CAMBIO
1923-05-31	5	SUCRE	(1) TIPO DE CAMBIO
1923-07-31	5.45	SUCRE	(1) TIPO DE CAMBIO
1923-09-30	5.35	SUCRE	(1) TIPO DE CAMBIO
1923-10-31	4.85	SUCRE	(1) TIPO DE CAMBIO
1923-11-30	5.4	SUCRE	(1) TIPO DE CAMBIO
1923-12-31	4.9	SUCRE	(1) TIPO DE CAMBIO
1924-01-31	4.8	SUCRE	(1) TIPO DE CAMBIO
1924-02-29	4.5	SUCRE	(1) TIPO DE CAMBIO
1924-03-31	4.7	SUCRE	(1) TIPO DE CAMBIO
1924-04-30	5.2	SUCRE	(1) TIPO DE CAMBIO
1924-05-31	5.5	SUCRE	(1) TIPO DE CAMBIO
1924-06-30	5.6	SUCRE	(1) TIPO DE CAMBIO
1924-07-31	5.65	SUCRE	(1) TIPO DE CAMBIO
1924-08-31	5.55	SUCRE	(1) TIPO DE CAMBIO
